TimelineID,Time,WeaponID,WeaponName,WeaponSide,ParentFiringUnitID,ParentFiringUnitName,TargetID,TargetName,TargetSide,TargetLongitude,TargetLatitude,TargetAltitude_ASL_m,TargetAltitude_AGL_m,DistanceFromFiringUnit_Horiz,Result,EndgameMessage
"The unique ID of the simulation run under which the event occured","The scenario time at which the event occured","WeaponID","WeaponName","WeaponSide","The unique ID of the unit that fired the weapon","The actual name of the unit that fired the weapon","The unique ID of the target unit at which the weapon is attacking","The actual name of the target unit which the weapon is attacking","The name of the side to which the attacked unit belongs","The longitude of the target unit","The latitude of the target unit","The barometric (above mean surface level) altitude of the attacked unit, in meters","The actual above-ground altitude, in meters, of the attacked unit","The horizontal range from the weapon's firing unit to the endgame location, in nautical miles","The result of the endgame sequence: Direct hit, miss or defeated by point defences","The generated logged message that describes the endgame sequence"
42,01:50:27.11,214,sr_sam_telar-29_sam_1,red,177,sr_sam_telar-29,201,sea_shooter_wpn4_2,blue,-121.734,38.5729,152.396,152.396,7.54229,HIT,Target proximity
42,01:50:30.04,215,sr_sam_telar-29_sam_2,red,177,sr_sam_telar-29,Unknown,sea_shooter_wpn4_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,3085.79,POINTDEF:FAILURE,AGL limit encountered
42,01:50:33.12,220,sr_sam_telar-27_sam_2,red,175,sr_sam_telar-27,Unknown,sea_shooter_wpn4_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,3077.43,POINTDEF:FAILURE,Coast time exceeded
42,01:50:33.14,219,sr_sam_telar-28_sam_2,red,176,sr_sam_telar-28,Unknown,sea_shooter_wpn4_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,3077.43,POINTDEF:FAILURE,Coast time exceeded
42,01:50:33.48,217,sr_sam_telar-28_sam_1,red,176,sr_sam_telar-28,Unknown,sea_shooter_wpn4_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,3077.43,POINTDEF:FAILURE,Coast time exceeded
42,01:50:33.48,218,sr_sam_telar-27_sam_1,red,175,sr_sam_telar-27,Unknown,sea_shooter_wpn4_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,3077.43,POINTDEF:FAILURE,Coast time exceeded
42,01:58:33.00,196,sea_shooter_wpn1_1,blue,192,sea_shooter,61,lr_sam_launcher_4-3,red,-120.613,39.3378,0.999744,0.999744,516.004,POINTDEF:FAILURE,AGL limit encountered
42,02:15:30.61,223,sr_sam_telar-6_sam_1,red,154,sr_sam_telar-6,198,sea_shooter_wpn3_4,blue,-123.078,47.0507,152.393,152.393,7.81425,HIT,Target proximity
42,02:15:33.75,224,sr_sam_telar-6_sam_2,red,154,sr_sam_telar-6,Unknown,sea_shooter_wpn3_4,Unknown,0,90,-6.35675e+06,-6.35675e+06,2573.05,POINTDEF:FAILURE,AGL limit encountered
42,02:36:58.27,227,sr_sam_telar-13_sam_1,red,161,sr_sam_telar-13,205,sea_shooter_wpn3_5,blue,-122.089,45.1255,152.395,152.395,7.61656,HIT,Target proximity
